slug,ine,ine_idescat,municipality,comarca
sant-llorenc-muga,17171,171714,Sant Llorenç de la Muga,Alt Empordà
sant-marti-llemena,17172,171729,Sant Martí de Llémena,Gironès
sant-marti-riucorb,25902,259025,Sant Martí de Riucorb,Urgell
sant-marti-vell,17173,171735,Sant Martí Vell,Gironès
sant-miquel-campmajor,17174,171740,Sant Miquel de Campmajor,Pla de l'Estany
sant-miquel-fluvia,17175,171753,Sant Miquel de Fluvià,Alt Empordà
sant-mori,17176,171766,Sant Mori,Alt Empordà
sant-pau-seguries,17177,171772,Sant Pau de Segúries,Ripollès
sant-pere-pescador,17178,171788,Sant Pere Pescador,Alt Empordà
sant-pere-ribes,08231,082310,Sant Pere de Ribes,Garraf
sant-ramon,25194,251945,Sant Ramon,Segarra
sant-vicenc-horts,08263,082634,Sant Vicenç dels Horts,Baix Llobregat
santa-barbara,43138,431384,Santa Bàrbara,Montsià
santa-coloma-farners,17180,171805,Santa Coloma de Farners,Selva
santa-coloma-queralt,43139,431397,Santa Coloma de Queralt,Conca de Barberà
santa-cristina-aro,17181,171812,Santa Cristina d'Aro,Baix Empordà
santa-llogaia-alguema,17182,171827,Santa Llogaia d'Àlguema,Alt Empordà
santa-margarida-i-monjos,08251,082515,Santa Margarida i els Monjos,Alt Penedès
santa-maria-merles,08255,082554,Santa Maria de Merlès,Berguedà
santa-oliva,43140,431401,Santa Oliva,Baix Penedès
santa-pau,17184,171848,Santa Pau,Garrotxa
santa-perpetua-mogoda,08260,082606,Santa Perpètua de Mogoda,Vallès Occidental
sarral,43142,431423,Sarral,Conca de Barberà
sarria-ter,17186,171864,Sarrià de Ter,Gironès
sarroca-bellera,25201,252017,Sarroca de Bellera,Pallars Jussà
sarroca-lleida,25200,252000,Sarroca de Lleida,Segrià
saus-camallera-i-llampaies,17187,171870,"Saus, Camallera i Llampaies",Alt Empordà
savalla-comtat,43143,431439,Savallà del Comtat,Conca de Barberà
secuita,43144,431444,"Secuita, la",Tarragonès
selva-camp,43145,431457,"Selva del Camp, la",Baix Camp
selva-mar,17188,171886,"Selva de Mar, la",Alt Empordà
senan,43146,431460,Senan,Conca de Barberà
senia,43044,430445,"Sénia, la",Montsià
senterada,25202,252022,Senterada,Pallars Jussà
sentiu-sio,25035,250352,"Sentiu de Sió, la",Noguera
serinya,17190,171903,Serinyà,Pla de l'Estany
seros,25204,252043,Seròs,Segrià
serra-daro,17191,171910,Serra de Daró,Baix Empordà
setcases,17192,171925,Setcases,Ripollès
seu-urgell,25203,252038,"Seu d'Urgell, la",Alt Urgell
sidamon,25205,252056,Sidamon,Pla d'Urgell
sils,17193,171931,Sils,Selva
siurana,17052,170524,Siurana,Alt Empordà
soleras,25206,252069,"Soleràs, el",Garrigues
solivella,43147,431476,Solivella,Conca de Barberà
solsona,25207,252075,Solsona,Solsonès
soriguera,25208,252081,Soriguera,Pallars Sobirà
sort,25209,252094,Sort,Pallars Sobirà
soses,25210,252108,Soses,Segrià
sudanell,25211,252115,Sudanell,Segrià
sunyer,25212,252120,Sunyer,Segrià
susqueda,17194,171946,Susqueda,Selva
talarn,25215,252154,Talarn,Pallars Jussà
talavera,25216,252167,Talavera,Segarra
tallada-emporda,17195,171959,"Tallada d'Empordà, la",Baix Empordà
tarragona,43148,431482,Tarragona,Tarragonès
tarrega,25217,252173,Tàrrega,Urgell
tarres,25218,252189,Tarrés,Garrigues
tarroja-segarra,25219,252192,Tarroja de Segarra,Segarra
termens,25220,252206,Térmens,Noguera
terrades,17196,171962,Terrades,Alt Empordà
tiana,08282,082824,Tiana,Maresme
tirvia,25221,252213,Tírvia,Pallars Sobirà
tiurana,25222,252228,Tiurana,Noguera
tivenys,43149,431495,Tivenys,Baix Ebre
tivissa,43150,431508,Tivissa,Ribera d'Ebre
tora,25223,252234,Torà,Solsonès
torms,25224,252249,"Torms, els",Garrigues
tornabous,25225,252252,Tornabous,Urgell
torre-cabdella,25227,252271,"Torre de Cabdella, la",Pallars Jussà
torre-espanyol,43152,431520,"Torre de l'Espanyol, la",Ribera d'Ebre
torre-fontaubella,43151,431515,"Torre de Fontaubella, la",Priorat
torre-serona,25233,252332,Torre-serona,Segrià
torrebesses,25226,252265,Torrebesses,Segrià
torredembarra,43153,431536,Torredembarra,Tarragonès
torrefarrera,25228,252287,Torrefarrera,Segrià
torrefeta-i-florejacs,25907,259078,Torrefeta i Florejacs,Segarra
torregrossa,25230,252304,Torregrossa,Pla d'Urgell
torrelameu,25231,252311,Torrelameu,Noguera
torrent,17197,171978,Torrent,Baix Empordà
torres-segre,25232,252326,Torres de Segre,Segrià
torroella-fluvia,17198,171984,Torroella de Fluvià,Alt Empordà
torroella-montgri,17199,171997,Torroella de Montgrí,Baix Empordà
torroja-priorat,43154,431541,Torroja del Priorat,Priorat
tortella,17200,172001,Tortellà,Garrotxa
tortosa,43155,431554,Tortosa,Baix Ebre
toses,17201,172018,Toses,Ripollès
tossa-mar,17202,172023,Tossa de Mar,Selva
tremp,25234,252347,Tremp,Pallars Jussà
ulla,17204,172044,Ullà,Baix Empordà
ullastret,17205,172057,Ullastret,Baix Empordà
ulldecona,43156,431567,Ulldecona,Montsià
ulldemolins,43157,431573,Ulldemolins,Priorat
ultramort,17203,172039,Ultramort,Baix Empordà
urus,17206,172060,Urús,Cerdanya
vajol,17014,170144,"Vajol, la",Alt Empordà
vall-bianya,17208,172082,"Vall de Bianya, la",Garrotxa
vall-boi,25043,250432,"Vall de Boí, la",Alta Ribagorça
vall-cardos,25901,259010,Vall de Cardós,Pallars Sobirà
vall-en-bas,17207,172076,"Vall d'en Bas, la",Garrotxa
vall-llobrega,17209,172095,Vall-llobrega,Baix Empordà
vallbona-monges,25238,252385,Vallbona de les Monges,Urgell
vallclara,43158,431589,Vallclara,Conca de Barberà
vallfogona-balaguer,25240,252402,Vallfogona de Balaguer,Noguera
vallfogona-ripolles,17170,171707,Vallfogona de Ripollès,Ripollès
vallfogona-riucorb,43159,431592,Vallfogona de Riucorb,Conca de Barberà
vallmoll,43160,431606,Vallmoll,Alt Camp
valls,43161,431613,Valls,Alt Camp
valls-aguilar,25906,259062,"Valls d'Aguilar, les",Alt Urgell
valls-valira,25239,252398,"Valls de Valira, les",Alt Urgell
vandellos-i-hospitalet-infant,43162,431628,Vandellòs i l'Hospitalet de l'Infant,Baix Camp
vansa-i-fornols,25909,259097,"Vansa i Fórnols, la",Alt Urgell
vendrell,43163,431634,"Vendrell, el",Baix Penedès
ventallo,17210,172109,Ventalló,Alt Empordà
verdu,25242,252424,Verdú,Urgell
verges,17211,172116,Verges,Baix Empordà
vespella-gaia,43164,431649,Vespella de Gaià,Tarragonès
vic,08298,082981,Vic,Osona
vidra,17212,172121,Vidrà,Osona
vidreres,17213,172137,Vidreres,Selva
vielha-e-mijaran,25243,252430,Vielha e Mijaran,Aran
vila-rodona,43170,431704,Vila-rodona,Alt Camp
vila-sacra,17230,172305,Vila-sacra,Alt Empordà
vila-sana,25252,252521,Vila-sana,Pla d'Urgell
vila-seca,43171,431711,Vila-seca,Tarragonès
vilabella,43165,431652,Vilabella,Alt Camp
vilabertran,17214,172142,Vilabertran,Alt Empordà
vilablareix,17215,172155,Vilablareix,Gironès
viladamat,17217,172174,Viladamat,Alt Empordà
viladasens,17216,172168,Viladasens,Gironès
viladecans,08301,083015,Viladecans,Baix Llobregat
vilademuls,17218,172180,Vilademuls,Pla de l'Estany
viladrau,17220,172207,Viladrau,Osona
vilafant,17221,172214,Vilafant,Alt Empordà
vilafranca-penedes,08305,083054,Vilafranca del Penedès,Alt Penedès
vilagrassa,25244,252445,Vilagrassa,Urgell
vilajuiga,17223,172235,Vilajuïga,Alt Empordà
vilalba-arcs,43175,431750,Vilalba dels Arcs,Terra Alta
vilaller,25245,252458,Vilaller,Alta Ribagorça
vilallonga-camp,43166,431665,Vilallonga del Camp,Tarragonès
vilallonga-ter,17224,172240,Vilallonga de Ter,Ripollès
vilamacolum,17225,172253,Vilamacolum,Alt Empordà
vilamalla,17226,172266,Vilamalla,Alt Empordà
vilamaniscle,17227,172272,Vilamaniscle,Alt Empordà
vilamos,25247,252477,Vilamòs,Aran
vilanant,17228,172288,Vilanant,Alt Empordà
vilanova-aguda,25249,252496,Vilanova de l'Aguda,Noguera
vilanova-barca,25254,252542,Vilanova de la Barca,Segrià
vilanova-bellpuig,25248,252483,Vilanova de Bellpuig,Pla d'Urgell
vilanova-escornalbou,43167,431671,Vilanova d'Escornalbou,Baix Camp
vilanova-i-geltru,08307,083073,Vilanova i la Geltrú,Garraf
vilanova-meia,25250,252509,Vilanova de Meià,Noguera
vilanova-prades,43168,431687,Vilanova de Prades,Conca de Barberà
vilanova-segria,25251,252516,Vilanova de Segrià,Segrià
vilaplana,43169,431690,Vilaplana,Baix Camp
vilaur,17222,172229,Vilaür,Alt Empordà
vilaverd,43172,431726,Vilaverd,Conca de Barberà
vilella-alta,43173,431732,"Vilella Alta, la",Priorat
vilella-baixa,43174,431747,"Vilella Baixa, la",Priorat
vilobi-onyar,17233,172333,Vilobí d'Onyar,Selva
vilopriu,17232,172327,Vilopriu,Baix Empordà
vilosell,25253,252537,"Vilosell, el",Garrigues
vimbodi-i-poblet,43176,431763,Vimbodí i Poblet,Conca de Barberà
vinaixa,25255,252555,Vinaixa,Garrigues
vinebre,43177,431779,Vinebre,Ribera d'Ebre
vinyols-i-arcs,43178,431785,Vinyols i els Arcs,Baix Camp
viver-i-serrateix,08308,083089,Viver i Serrateix,Berguedà
xerta,43052,430521,Xerta,Baix Ebre
