slug,ine,ine_idescat,municipality,comarca
bot,43032,430326,Bot,Terra Alta
botarell,43033,430332,Botarell,Baix Camp
bovera,25056,250560,Bovera,Garrigues
brafim,43034,430347,Bràfim,Alt Camp
breda,17027,170274,Breda,Selva
brunyola-i-sant-marti-sapresa,17028,170280,Brunyola i Sant Martí Sapresa,Selva
cabaces,43035,430350,Cabacés,Priorat
cabanabona,25060,250609,Cabanabona,Noguera
cabanelles,17031,170314,Cabanelles,Alt Empordà
cabanes,17030,170307,Cabanes,Alt Empordà
cabo,25061,250616,Cabó,Alt Urgell
cabra-camp,43036,430363,Cabra del Camp,Alt Camp
cadaques,17032,170329,Cadaqués,Alt Empordà
calafell,43037,430379,Calafell,Baix Penedès
caldes-malavella,17033,170335,Caldes de Malavella,Selva
calonge-i-sant-antoni,17034,170340,Calonge i Sant Antoni,Baix Empordà
camarasa,25062,250621,Camarasa,Noguera
camarles,43903,439039,Camarles,Baix Ebre
cambrils,43038,430385,Cambrils,Baix Camp
camos,17035,170353,Camós,Pla de l'Estany
campdevanol,17036,170366,Campdevànol,Ripollès
campelles,17037,170372,Campelles,Ripollès
campllong,17038,170388,Campllong,Gironès
camprodon,17039,170391,Camprodon,Ripollès
canejan,25063,250637,Canejan,Aran
canet-adri,17040,170405,Canet d'Adri,Gironès
canonja,43907,439076,"Canonja, la",Tarragonès
cantallops,17041,170412,Cantallops,Alt Empordà
capafonts,43039,430398,Capafonts,Baix Camp
capcanes,43040,430402,Capçanes,Priorat
capmany,17042,170427,Capmany,Alt Empordà
caseres,43041,430419,Caseres,Terra Alta
cassa-selva,17044,170448,Cassà de la Selva,Gironès
castell-mur,25904,259046,Castell de Mur,Pallars Jussà
castell-platja-aro,17048,170486,"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà
castellar-ribera,25064,250642,Castellar de la Ribera,Solsonès
castellbisbal,08054,080543,Castellbisbal,Vallès Occidental
castelldans,25067,250674,Castelldans,Garrigues
castelldefels,08056,080569,Castelldefels,Baix Llobregat
castellfollit-roca,17046,170464,Castellfollit de la Roca,Garrotxa
castellnou-seana,25068,250680,Castellnou de Seana,Pla d'Urgell
castello-empuries,17047,170470,Castelló d'Empúries,Alt Empordà
castello-farfanya,25069,250693,Castelló de Farfanya,Noguera
castellsera,25070,250707,Castellserà,Urgell
castellvell-camp,43042,430424,Castellvell del Camp,Baix Camp
catllar,43043,430430,"Catllar, el",Tarragonès
cava,25071,250714,Cava,Alt Urgell
cellera-ter,17189,171899,"Cellera de Ter, la",Selva
celra,17049,170499,Celrà,Gironès
cerdanyola-valles,08266,082665,Cerdanyola del Vallès,Vallès Occidental
cervello,08068,080689,Cervelló,Baix Llobregat
cervera,25072,250729,Cervera,Segarra
cervia-garrigues,25073,250735,Cervià de les Garrigues,Garrigues
cervia-ter,17050,170502,Cervià de Ter,Gironès
cistella,17051,170519,Cistella,Alt Empordà
ciutadilla,25074,250740,Ciutadilla,Urgell
clariana-cardener,25075,250753,Clariana de Cardener,Solsonès
cogul,25076,250766,"Cogul, el",Garrigues
colera,17054,170545,Colera,Alt Empordà
coll-nargo,25077,250772,Coll de Nargó,Alt Urgell
colldejou,43045,430458,Colldejou,Baix Camp
colomers,17055,170558,Colomers,Baix Empordà
coma-i-pedra,25163,251636,"Coma i la Pedra, la",Solsonès
conca-dalt,25161,251615,Conca de Dalt,Pallars Jussà
conesa,43046,430461,Conesa,Conca de Barberà
constanti,43047,430477,Constantí,Tarragonès
corbera-ebre,43048,430483,Corbera d'Ebre,Terra Alta
corbera-llobregat,08072,080728,Corbera de Llobregat,Baix Llobregat
corbins,25078,250788,Corbins,Segrià
corca,17057,170577,Corçà,Baix Empordà
cornella-llobregat,08073,080734,Cornellà de Llobregat,Baix Llobregat
cornella-terri,17056,170561,Cornellà del Terri,Pla de l'Estany
cornudella-montsant,43049,430496,Cornudella de Montsant,Priorat
creixell,43050,430509,Creixell,Tarragonès
crespia,17058,170583,Crespià,Pla de l'Estany
cruilles-monells-i-sant-sadurni-heura,17901,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà
cubells,25079,250791,Cubells,Noguera
cunit,43051,430516,Cunit,Baix Penedès
darnius,17060,170600,Darnius,Alt Empordà
das,17061,170617,Das,Cerdanya
deltebre,43901,439018,Deltebre,Baix Ebre
duesaigues,43053,430537,Duesaigües,Baix Camp
es-bordes,25057,250576,"Bòrdes, Es",Aran
escala,17062,170622,"Escala, l'",Alt Empordà
espinelves,17063,170638,Espinelves,Osona
espluga-calba,25081,250812,"Espluga Calba, l'",Garrigues
espluga-francoli,43054,430542,"Espluga de Francolí, l'",Conca de Barberà
esplugues-llobregat,08077,080771,Esplugues de Llobregat,Baix Llobregat
espolla,17064,170643,Espolla,Alt Empordà
esponella,17065,170656,Esponellà,Pla de l'Estany
espot,25082,250827,Espot,Pallars Sobirà
estamariu,25088,250886,Estamariu,Alt Urgell
estaras,25085,250851,Estaràs,Segarra
esterri-aneu,25086,250864,Esterri d'Àneu,Pallars Sobirà
esterri-cardos,25087,250870,Esterri de Cardós,Pallars Sobirà
falset,43055,430555,Falset,Priorat
far-emporda,17005,170059,"Far d'Empordà, el",Alt Empordà
farrera,25089,250899,Farrera,Pallars Sobirà
fatarella,43056,430568,"Fatarella, la",Terra Alta
febro,43057,430574,"Febró, la",Baix Camp
figols-i-alinya,25908,259084,Fígols i Alinyà,Alt Urgell
figuera,43058,430580,"Figuera, la",Priorat
figuerola-camp,43059,430593,Figuerola del Camp,Alt Camp
flaca,17067,170675,Flaçà,Gironès
flix,43060,430607,Flix,Ribera d'Ebre
floresta,25092,250925,"Floresta, la",Garrigues
foixa,17068,170681,Foixà,Baix Empordà
fondarella,25093,250931,Fondarella,Pla d'Urgell
fontanals-cerdanya,17069,170694,Fontanals de Cerdanya,Cerdanya
fontanilles,17070,170708,Fontanilles,Baix Empordà
fontcoberta,17071,170715,Fontcoberta,Pla de l'Estany
foradada,25094,250946,Foradada,Noguera
forallac,17902,179026,Forallac,Baix Empordà
fores,43061,430614,Forès,Conca de Barberà
fornells-selva,17073,170736,Fornells de la Selva,Gironès
fortia,17074,170741,Fortià,Alt Empordà
freginals,43062,430629,Freginals,Montsià
fuliola,25096,250962,"Fuliola, la",Urgell
fulleda,25097,250978,Fulleda,Garrigues
galera,43063,430635,"Galera, la",Montsià
gandesa,43064,430640,Gandesa,Terra Alta
garcia,43065,430653,Garcia,Ribera d'Ebre
garidells,43066,430666,"Garidells, els",Alt Camp
garrigas,17075,170754,Garrigàs,Alt Empordà
garrigoles,17076,170767,Garrigoles,Baix Empordà
garriguella,17077,170773,Garriguella,Alt Empordà
gava,08089,080898,Gavà,Baix Llobregat
gavet-conca,25098,250984,Gavet de la Conca,Pallars Jussà
ger,17078,170789,Ger,Cerdanya
gimenells-i-pla-font,25912,259123,Gimenells i el Pla de la Font,Segrià
